  55.84500     0.6734    -0.3855     0.1306Fe
  14.00670     3.9138     0.5779     0.1328N
  14.00670     1.6368    -3.6259     0.1334N
  14.00670    -0.2395    -2.0709     0.1309N
  14.00670    -1.0120     0.5273     0.1286N
  14.00670     1.5863     1.2998     0.1304N
  14.00670     2.3588    -1.2984     0.1326N
  14.00670    -0.2900     2.8548     0.1277N
  14.00670    -2.5670    -1.3489     0.1285N
  12.01070    -2.6308     2.2050     0.1263C
  12.01070    -1.2119     1.9066     0.1276C
  12.01070     1.0001     2.5643     0.1290C
  12.01070     2.0252     3.5895     0.1292C
  12.01070    -3.3016     0.9663     0.1265C
  12.01070    -2.2764    -0.0588     0.1280C
  12.01070    -0.6092    -5.7583     0.1333C
  12.01070    -3.1252    -4.3959     0.1301C
  12.01070    -1.8137    -6.4621     0.1328C
  12.01070    -4.6993     0.8970     0.1255C
  12.01070    -3.3370     3.4131     0.1250C
  12.01070    -5.4031     2.1016     0.1242C
  12.01070    -3.0557    -5.7893     0.1313C
  12.01070    -1.6188    -2.2708     0.1299C
  12.01070    -1.9171    -3.6897     0.1307C
  12.01070     3.2639     2.9186     0.1308C
  12.01070     2.9656     1.4998     0.1315C
  12.01070    -4.7303     3.3435     0.1239C
  12.01070     3.6232    -0.7123     0.1333C
  12.01070     4.6484    -1.7374     0.1346C
  12.01070     2.5587    -2.6777     0.1336C
  12.01070     3.9776    -2.9761     0.1348C
  12.01070    -0.6784    -4.3606     0.1322C
  12.01070     0.3466    -3.3353     0.1323C
  12.01070     1.9559     4.9872     0.1281C
  12.01070     4.4720     3.6248     0.1315C
  12.01070     3.1605     5.6910     0.1287C
  12.01070     4.4025     5.0182     0.1304C
  12.01070     6.0461    -1.6681     0.1356C
  12.01070     4.6838    -4.1842     0.1359C
  12.01070     6.7499    -2.8727     0.1368C
  12.01070     6.0771    -4.1146     0.1369C
   1.00794     6.5562    -0.7047     0.1355H
   1.00794     4.1560    -5.1380     0.1360H
   1.00794     6.6624    -5.0353     0.1378H
   1.00794    -5.2094    -0.0664     0.1257H
   1.00794    -2.8092     4.3669     0.1248H
   1.00794    -5.3156     4.2642     0.1229H
   1.00794    -6.4939     2.0893     0.1234H
   1.00794     0.3542    -6.2683     0.1345H
   1.00794    -4.0791    -3.8681     0.1290H
   1.00794    -3.9763    -6.3745     0.1309H
   1.00794    -1.8014    -7.5529     0.1337H
   1.00794     0.9926     5.4972     0.1268H
   1.00794     5.4259     3.0971     0.1328H
   1.00794     5.3231     5.6035     0.1309H
   1.00794     3.1482     6.7818     0.1279H
   1.00794     7.8407    -2.8603     0.1376H
